"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-2.61202353783051,10.5182865777315,-18.7671601719445,6.08910265999329e-42,1.95625444030976e-39,84.87613629989,"244197_x_at"
-2.39359486773213,9.81177065848075,-18.7652797876038,6.15586225860731e-42,1.95625444030976e-39,84.8653169543118,"207730_x_at"
-2.56207674559597,11.5924730718002,-18.7150120449423,8.24048165552993e-42,2.56416320847906e-39,84.5759263133322,"220796_x_at"
-7.00583245906462,12.7677671862643,-18.6365655172895,1.29982149005252e-41,3.96206811743356e-39,84.1236943110021,"211161_s_at"
-4.37034857484394,11.6547235537981,-18.6085957620818,1.52944028148978e-41,4.56874400886627e-39,83.9622717259077,"232889_at"
-2.66660651885806,9.89044209365245,-18.449667988791,3.86133270469552e-41,1.13084049563397e-38,83.043245881185,"240383_at"
-2.18189099830049,11.0171179864724,-18.4408442627809,4.0654252012001e-41,1.16771520779086e-38,82.9921317397292,"223697_x_at"
-2.82926848818511,10.0281012422477,-18.4351074366184,4.20389028824369e-41,1.18470387443788e-38,82.9588943769769,"238549_at"
-2.3990613265026,10.6750900407908,-18.4274187366476,4.3969172627535e-41,1.21615474512012e-38,82.9143422513349,"229434_at"
-2.04550053600026,10.3704217502601,-18.2553706392268,1.20287123046343e-40,3.26656085421851e-38,81.9155529323367,"224667_x_at"
-6.97593365522764,12.1068029057232,-18.1033985858248,2.93457066631077e-40,7.82691919143172e-38,81.0303706726848,"208894_at"
-2.53011703951368,8.3807253483871,-18.0887372419095,3.19869847575452e-40,8.38171235681922e-38,80.9448287116772,"215269_at"
-4.42228298846292,8.56082495816857,-18.0154594372505,4.9227265176224e-40,1.2676869528829e-37,80.5169071613333,"202878_s_at"
-2.24992765352812,9.22364016961498,-17.9547001733097,7.04136385134349e-40,1.78253916074011e-37,80.1616109977976,"217586_x_at"
-6.57451417652057,10.8807393292404,-17.8443522584506,1.3503667499215e-39,3.36151296280459e-37,79.5152345124867,"200795_at"
