"Sample","Mean","Median","SD"
"GSM1116181",8.65889776352798,8.48219083870968,1.90262929043204
"GSM1116182",8.65889773575788,8.48219083870968,1.90262923596612
"GSM1116183",8.65889776974375,8.48219083870968,1.90262929859723
"GSM1116184",8.65889774399518,8.48219083870968,1.90262925795508
"GSM1116185",8.65889774386127,8.48219083870968,1.90262926155636
"GSM1116186",8.65889781759955,8.48219083870968,1.90262935386309
"GSM1116187",8.65889777041759,8.48219083870968,1.9026292799578
"GSM1116188",8.65889774310536,8.48219083870968,1.90262925305879
"GSM1116189",8.65889775138153,8.48219083870968,1.9026292670703
"GSM1116190",8.65889772509303,8.48219083870968,1.90262925376865
"GSM1116191",8.65889777016706,8.48219083870968,1.90262929620424
"GSM1116192",8.65889775157591,8.48219083870968,1.90262926632826
"GSM1116193",8.65889775462116,8.48219083870968,1.9026292758936
"GSM1116194",8.65889775753251,8.48219083870968,1.90262927117082
"GSM1116195",8.65889774029768,8.48219083870968,1.90262924824903
"GSM1116196",8.65889772455741,8.48219083870968,1.90262921991258
"GSM1116197",8.65889773907958,8.48219083870968,1.9026292360498
"GSM1116198",8.65889776105291,8.48219083870968,1.90262927602417
"GSM1116199",8.65889777276308,8.48219083870968,1.90262928732538
"GSM1116200",8.65889777188191,8.48219083870968,1.90262928228771
"GSM1116201",8.65889775768801,8.48219083870968,1.90262927173333
"GSM1116202",8.65889773326553,8.48219083870968,1.90262924521041
"GSM1116203",8.6588977792769,8.48219083870968,1.90262929319946
"GSM1116204",8.65889776289733,8.48219083870968,1.90262927530933
"GSM1116205",8.65889777632668,8.48219083870968,1.90262928925707
"GSM1116206",8.65889776370076,8.48219083870968,1.90262928316009
"GSM1116207",8.65889774678126,8.48219083870968,1.90262925484038
"GSM1116208",8.65889774748534,8.48219083870968,1.90262926705848
"GSM1116209",8.65889773726539,8.48219083870968,1.90262925488244
"GSM1116210",8.65889777267669,8.48219083870968,1.90262930712415
"GSM1116211",8.65889773851373,8.48219083870968,1.90262922553943
"GSM1116212",8.65889773343399,8.48219083870968,1.90262927177097
"GSM1116213",8.65889776045249,8.48219083870968,1.90262926429735
"GSM1116214",8.65889772558977,8.48219083870968,1.90262918895173
"GSM1116215",8.65889775462548,8.48219083870968,1.90262926558458
"GSM1116216",8.65889777138084,8.48219083870968,1.90262928236036
"GSM1116217",8.65889773374067,8.48219083870968,1.90262923002508
"GSM1116218",8.65889776611968,8.48219083870968,1.90262928043539
"GSM1116219",8.65889771587952,8.48219083870968,1.90262921114881
"GSM1116220",8.65889774494547,8.48219083870968,1.90262926627372
"GSM1116221",8.65889774672079,8.48219083870968,1.90262925364694
"GSM1116222",8.65889775431016,8.48219083870968,1.902629277144
"GSM1116223",8.65889773628918,8.48219083870968,1.90262925404882
"GSM1116224",8.65889772419889,8.48219083870968,1.90262924220612
"GSM1116225",8.65889774799936,8.48219083870968,1.90262926579369
"GSM1116226",8.65889779275807,8.48219083870968,1.90262934030636
"GSM1116227",8.65889776000327,8.48219083870968,1.90262928725352
"GSM1116228",8.65889777514313,8.48219083870968,1.90262929083046
"GSM1116229",8.65889774556316,8.48219083870968,1.90262925230886
"GSM1116230",8.65889776267272,8.48219083870968,1.90262929440576
"GSM1116231",8.6588977705299,8.48219083870968,1.90262927718096
"GSM1116232",8.65889776120409,8.48219083870968,1.90262928062464
"GSM1116233",8.65889770509372,8.48219083870968,1.90262917091122
"GSM1116234",8.65889773863899,8.48219083870968,1.90262925362628
"GSM1116235",8.65889776179154,8.48211856451613,1.90262925738492
"GSM1116236",8.65889774713978,8.48219083870968,1.90262927609613
"GSM1116237",8.65889773971887,8.48219083870968,1.90262926599193
"GSM1116238",8.6588977621803,8.48219083870968,1.9026292784795
