"Gene","Mean","Variance","CV"
"1007_s_at",10.0306447941727,0.606901774089405,0.0776658951412132
"1053_at",7.72165622955255,0.894132174247537,0.122458912558507
"1294_at",6.86438575359001,1.21639768649936,0.160670487511363
"1405_i_at",8.7016925798127,3.9483355749766,0.228351196911637
"1487_at",6.44609720020812,0.799173215254935,0.138683122055751
"1552256_a_at",8.86571524807492,1.35156577918365,0.131130831540102
"1552257_a_at",8.62510256649324,0.720281058830854,0.0983981037009296
"1552264_a_at",6.61711087304891,1.05061798675343,0.154900922557177
"1552274_at",6.68458327075963,0.529770332872054,0.108885356995853
"1552277_a_at",7.07946183059313,1.54433495608967,0.175537741499901
"1552287_s_at",7.19294627887617,0.50800614385592,0.0990895065276933
"1552291_at",8.14086927242456,0.608450152977888,0.0958168129937262
"1552343_s_at",7.92146366867846,1.04908356634466,0.129300322261785
"1552347_at",8.68235038647243,0.472429057222531,0.0791645946585776
"1552426_a_at",9.83989525202914,0.35843913329719,0.0608439266323251
"1552477_a_at",7.54278964120708,3.38166610893919,0.243799812089254
"1552610_a_at",8.33596299791883,1.93489745886467,0.166868053101167
"1552617_a_at",7.95545944849115,0.829467616914951,0.114481273365286
"1552618_at",6.46035356129032,1.06814647889373,0.159977578919807
"1552619_a_at",7.20765655608741,4.7212371624847,0.301462866296729
"1552621_at",8.89880844037461,1.06213162953028,0.115813000346643
"1552622_s_at",8.2714242855359,1.19020415675248,0.131895637907525
"1552628_a_at",9.85688612819979,0.217344001242262,0.0472970538938485
"1552664_at",6.64385267242456,0.374151563865083,0.0920669569862713
"1552701_a_at",8.09564737023933,2.06612184578201,0.177552332463717
"1552703_s_at",7.94871479001041,1.4834350318848,0.1532277241559
"1552735_at",8.97180087221644,2.78527290725826,0.186017691937841
"1552790_a_at",6.99867658855359,1.26154926483787,0.160485641424767
"1552797_s_at",8.96515668033299,2.16796903845873,0.164236111440069
"1552977_a_at",7.44778281810614,0.4744551850844,0.0924848496182018
"1552978_a_at",6.6121259925078,1.46484746535961,0.183043824625091
"1553096_s_at",7.19477031238293,0.358570723806589,0.0832281957533408
"1553101_a_at",7.0683362917794,0.47120187182243,0.0971149966780144
"1553103_at",9.4851686917794,0.306135003838188,0.0583326136637524
"1553105_s_at",8.47001962185224,2.70927622629646,0.194331063151511
"1553113_s_at",7.67665208033299,0.594914013990387,0.100474358416956
"1553117_a_at",7.02905878085328,1.04362177585383,0.145336397515541
"1553118_at",6.93969883704475,1.18867229681312,0.157105159095386
"1553132_a_at",7.40115721456816,1.9259820230469,0.187510885627115
"1553172_at",6.44935007450572,0.65501547491987,0.125490205035104
"1553185_at",10.4954366093652,1.22179263100232,0.105316942106427
"1553186_x_at",10.2227493132154,1.26910221074566,0.110199744946394
"1553349_at",8.0986064049948,1.05466213629929,0.12680792166035
"1553530_a_at",10.249778503642,1.18104990388407,0.106027774036351
"1553535_a_at",6.71155917835588,1.06650677647859,0.153871570247586
"1553538_s_at",15.7387901935484,0.112472848425214,0.0213084814576192
"1553551_s_at",15.0569329719043,0.259952961802947,0.0338618645295982
"1553567_s_at",15.5440474755463,0.126534027144948,0.0228844011002691
"1553569_at",15.5423419521332,0.0999839601117069,0.0203445790012467
"1553570_x_at",15.5321653152966,0.0958632550849093,0.0199339829067726
"1553575_at",9.94108251737773,0.91221533936113,0.096076020619212
"1553581_s_at",9.06983882247659,0.309874259877153,0.0613752369542899
"1553587_a_at",6.79568090239334,1.06166770891569,0.15162168760337
"1553588_at",15.3101423891779,0.0401437895886004,0.0130866941929052
"1553613_s_at",7.03479663130073,10.2485238374546,0.455070948080237
"1553677_a_at",7.83692938896982,1.01976165776712,0.12885563207645
"1553678_a_at",10.8063051075963,1.28531875337203,0.10491273205361
"1553693_s_at",8.5567858842872,1.21531826599356,0.128835144187752
"1553694_a_at",6.80303614235172,2.60390716071647,0.237197424822275
"1553703_at",9.04799670343392,0.506731857190865,0.0786749853090744
"1553704_x_at",8.95766370759625,0.544551688265296,0.0823805714985992
"1553709_a_at",8.00434307325702,0.97928353822953,0.123631327468221
"1553715_s_at",7.15409269281998,0.996233249763411,0.139516622280331
"1553718_at",6.8760968012487,0.545351794293817,0.107398048788509
"1553764_a_at",6.5424293987513,2.58059164748327,0.245539065654592
"1553803_at",7.08342250072841,0.209215405838552,0.0645734044441394
"1553906_s_at",8.28296969802289,0.704396120174651,0.101326351483006
"1553954_at",8.21178300665973,0.646924888648678,0.0979466225698934
"1553955_at",9.078824,0.232748457985986,0.0531390528316715
"1553956_at",6.65830146056191,0.977446307138129,0.148485142719949
"1553957_at",6.80609229552549,0.542335641903947,0.108202236931063
"1553959_a_at",7.32432750301769,0.963266466717901,0.134000205887446
"1553974_at",7.23234101748179,0.870097338605923,0.12897484791778
"1553976_a_at",6.72503791883455,1.03400383004547,0.151205063979779
"1553978_at",7.15681775525494,0.761063971712155,0.121896328053087
"1553979_at",9.60336599417274,0.359475294120293,0.0624325456325729
"1553984_s_at",8.37440989427679,0.606729125657931,0.0930129048067319
"1553986_at",7.84120150364204,3.60428719142697,0.242118001074286
"1553987_at",7.16692159021852,0.324634204321508,0.0794995160780359
"1553993_s_at",8.04964598210198,0.442502648953644,0.0826382585438006
"1554018_at",8.37057651488033,1.22456217951086,0.132201094426421
"1554021_a_at",9.77178743995838,0.211486269129096,0.0470616420689087
"1554057_at",6.98827988740895,0.740660286980258,0.12315136757675
"1554067_at",7.24296652154006,1.28253019779187,0.156356997439517
"1554078_s_at",9.44128389594173,0.269767280342113,0.0550127784658837
"1554082_a_at",7.20247378917794,0.950646502624745,0.135371686932022
"1554084_a_at",6.51255723662851,0.411999756084786,0.0985591447584094
"1554089_s_at",9.61091398397503,0.635717168012259,0.0829597203870816
"1554093_a_at",6.85613765494277,0.47271995359797,0.10028187340037
"1554106_at",8.60995379021852,0.489730691317592,0.0812789043086389
"1554148_a_at",7.29834023121748,1.16507377441096,0.147894699047347
"1554149_at",8.63379190176899,0.259315813327984,0.0589811076032275
"1554154_at",7.69312817086368,0.678658488680072,0.107083528902431
"1554159_a_at",6.45733695941727,1.78282225573488,0.206776211453794
"1554167_a_at",8.30401497585848,1.94542422617437,0.167965093549674
"1554168_a_at",7.81049298064516,1.03983993166178,0.130558393979213
"1554177_a_at",7.9296591648283,0.308797609989128,0.0700781203282053
"1554178_a_at",6.96887584536941,0.28198050867403,0.0761985693552951
"1554241_at",9.39005472091571,0.602664272860047,0.0826741236473624
"1554250_s_at",7.12735108283039,1.05870549676243,0.144364174535601
"1554251_at",7.08672315046826,1.62525268001206,0.179893295777511
"1554260_a_at",6.67251499001041,1.03279889820174,0.152306460264773
"1554334_a_at",7.43762821331946,1.3609845952499,0.156852750751116
"1554351_a_at",8.84273635733611,0.677334992432048,0.0930711498496583
"1554365_a_at",8.53581101727367,0.89592371646815,0.110889576623485
"1554390_s_at",7.61796601290323,1.23154763702279,0.145675519958465
"1554408_a_at",7.42845817689906,3.30861953771871,0.244863883142223
"1554414_a_at",8.25652583558793,1.55907502981681,0.151229377248953
"1554415_at",6.44005554901145,0.997550395392518,0.155087862069627
"1554423_a_at",9.66675826181061,0.606723947025768,0.0805776709215125
"1554433_a_at",8.71321150530697,2.37567110108131,0.176894732598502
"1554441_a_at",7.28798770426639,0.839449687020585,0.125715754010422
"1554444_s_at",6.60124637814776,0.123225429106836,0.0531770483123668
"1554450_s_at",6.62787128720083,1.16912922916107,0.16313877365785
"1554452_a_at",8.45525084994797,1.45225688284865,0.142526370239624
"1554455_at",8.11007089323621,0.590471470238157,0.0947490379060965
"1554456_a_at",7.84707616899064,0.647360617782048,0.102533378941005
"1554462_a_at",6.82296980353798,0.718052792892254,0.124195179255691
"1554464_a_at",7.86397805556712,1.68352532322769,0.164993765343998
"1554479_a_at",7.70033666659729,0.990659474753975,0.129256527806941
"1554480_a_at",9.02176466222685,0.410921792691598,0.0710539282260853
"1554482_a_at",7.91949711883455,1.11377889568049,0.133260637665851
"1554510_s_at",8.84259965015609,0.757862572554485,0.0984498972350047
"1554553_s_at",7.05083036899063,0.954401301295777,0.13855597060624
"1554555_a_at",7.02294740686785,0.789389118868602,0.126510377526001
"1554565_x_at",7.08287074609781,0.685365148060302,0.11688309192134
"1554572_a_at",7.02739316670135,2.8564826630587,0.240503579355608
"1554574_a_at",7.97462978938606,1.21352008282521,0.138137933012577
"1554577_a_at",9.50758407492196,1.00497752649279,0.105440632032182
"1554595_at",7.75544833798127,0.812281862843482,0.116210794107942
"1554600_s_at",8.81598161207076,0.583352010660325,0.0866352581614987
"1554609_at",6.43832922913632,1.03620259464048,0.158106293212753
"1554627_a_at",6.94433740312175,1.67685996050872,0.186473698129752
"1554638_at",7.51359752986472,0.782937613222714,0.117764841166335
"1554667_s_at",7.77616985848075,0.712179096439531,0.108524769635047
"1554678_s_at",9.96480728782518,0.68336057786773,0.0829575765544207
"1554679_a_at",9.73449413756504,3.74929151713258,0.198912106536776
"1554690_a_at",7.04706097211238,1.54067458699831,0.176135716520676
"1554696_s_at",6.9994702201873,4.65449776598623,0.308227400055562
"1554703_at",7.42458867408949,1.55516807249088,0.167964022679704
"1554747_a_at",9.29988532736733,1.55340251684265,0.134018393827273
"1554767_s_at",7.08974967055151,0.499183745582717,0.0996550511977399
"1554806_a_at",7.87992338896982,0.726661073626207,0.108179246697422
"1554807_a_at",6.85747306181061,1.75129267873222,0.192981312510687
"1554868_s_at",9.80407525202914,0.726974182404855,0.0869666733570761
"1554878_a_at",7.34499463621228,3.03819220260021,0.237310054696079
"1554890_a_at",7.7943933182102,0.911113591258414,0.122462732429088
"1554899_s_at",7.92790327783559,2.26254842757329,0.189732006145729
"1554915_a_at",7.02552904183143,0.632532233726032,0.113204136828073
"1554966_a_at",7.37648519667014,2.08054699030758,0.195541656226783
"1555037_a_at",10.9063151673257,0.704048414351483,0.0769348690151085
"1555041_a_at",7.03470873860562,0.467284451262145,0.0971727613662691
"1555058_a_at",6.68262735234131,1.53830053067429,0.185598025220619
"1555167_s_at",7.29729495941727,3.48355973376559,0.255770074517706
"1555193_a_at",7.39525129427679,0.829072263650972,0.123124153305114
"1555201_a_at",7.62936996087409,1.99828547991138,0.185284927230424
"1555226_s_at",10.6648614782518,1.76687926484122,0.124637353308132
"1555229_a_at",8.29067526971904,4.65848136970032,0.260334830356064
"1555241_at",8.57596772549428,0.740488093954546,0.100340417120403
"1555243_x_at",8.83987514505723,0.456623907510771,0.076442202552683
"1555274_a_at",7.44392394380853,1.61417129404159,0.170676167632651
"1555278_a_at",8.65896401664932,0.7818459431193,0.102116203145725
"1555303_at",7.64511947075963,0.954821570451706,0.127813531398494
"1555349_a_at",7.2781192503642,2.0687362849528,0.197621139353582
"1555360_a_at",6.51291205327784,0.507016103088072,0.109329072243865
"1555370_a_at",6.5440183371488,1.52978388175834,0.189003798622849
"1555372_at",8.14741210489074,0.76369952414724,0.107260934415955
"1555411_a_at",9.83482903891779,0.658453136332952,0.0825079165074499
"1555419_a_at",9.85449394547346,1.67313781152078,0.131259737077335
"1555446_s_at",6.64749217398543,0.75064373209877,0.130334411879439
"1555460_a_at",8.8276227346514,4.75620581665555,0.247050965429225
"1555467_a_at",6.82645372944849,0.834570406802655,0.133824718829187
"1555495_a_at",8.07649853215401,0.342640182855575,0.0724763023542132
"1555501_s_at",7.33004300874089,1.18525899909218,0.148525186998094
"1555522_s_at",8.05931955816857,0.666444578846418,0.101293981861343
"1555526_a_at",6.8070947508845,1.25739372390856,0.164730436180028
"1555543_a_at",6.74239199542144,0.955059707880512,0.144944340774021
"1555575_a_at",10.3363428759625,0.199882293696426,0.0432534003417436
"1555579_s_at",8.44703804162331,1.80017268663309,0.15883735042431
"1555618_s_at",8.57264648595213,1.35242590198726,0.13565688019525
"1555630_a_at",8.8241118855359,1.37656069530504,0.132961735884264
"1555653_at",13.1672720915713,0.276598982971422,0.039941969843393
"1555705_a_at",7.32261625931322,0.914300681564282,0.130580475632143
"1555724_s_at",10.5317546884495,3.54972797726222,0.178894423118849
"1555730_a_at",12.1823402722164,1.12138141401169,0.0869252505194772
"1555736_a_at",7.50247886930281,1.08018959483696,0.138530440072181
"1555745_a_at",8.50281940582726,8.25364413582565,0.337878000076829
"1555758_a_at",6.78371289720541,6.52397909820833,0.376520668605058
"1555759_a_at",7.52531891425598,4.44083977233052,0.280031987257377
"1555760_a_at",7.74217894568158,0.707931605059236,0.108675699880677
"1555762_s_at",8.37601653694069,0.235906758132578,0.057987270292905
"1555764_s_at",9.73718962226847,0.420293969799589,0.0665798713943062
"1555778_a_at",11.8035391685744,7.21709609339265,0.227598291896196
"1555780_a_at",9.4898673371488,1.010008061086,0.105901540763394
"1555790_a_at",9.50229441311134,0.69582654370333,0.0877853436686734
"1555797_a_at",9.99531067096774,0.892493289169592,0.0945161847118779
"1555803_a_at",6.64933269406868,0.767764935361122,0.131775925083276
"1555812_a_at",10.2004331217482,2.79202234298864,0.163810159017981
"1555814_a_at",11.4393278106139,1.71947973469823,0.114629929509976
"1555823_at",7.66539018730489,0.239503467397913,0.0638442274625069
"1555824_a_at",7.27102609781478,0.495536293832343,0.0968148619960648
"1555831_s_at",6.77626363475546,0.980497410825533,0.146127828781234
"1555832_s_at",10.895802698231,0.67960657604185,0.0756605607799322
"1555833_a_at",7.76239937419355,0.432219666846698,0.0846947087245256
"1555837_s_at",11.9378937594173,0.150494258233842,0.0324961758169514
"1555841_at",7.52120508844953,0.639285985207838,0.106306583428531
"1555844_s_at",11.5292877294485,0.0750255217985299,0.0237575709300276
"1555845_at",7.31109280561915,0.421780033640478,0.088830214696082
"1555847_a_at",9.15414335213319,0.980143041456847,0.108150123915217
"1555851_s_at",10.7952380049948,0.682029896380205,0.0765014178516474
"1555852_at",7.01247477086368,1.83832056597259,0.193347833968925
"1555864_s_at",9.48571022580645,0.60012667275308,0.0816679419248136
"1555874_x_at",7.11660538917794,0.799404902482134,0.125634963664675
"1555878_at",8.07014586222685,0.939179057000685,0.12008612068792
"1555889_a_at",9.32167289365245,0.816770289958993,0.0969518514163569
"1555892_s_at",7.26619953860562,0.937503626632927,0.133253663650564
"1555906_s_at",7.39112959687825,1.04354193396421,0.138211485710612
"1555913_at",7.89066948699272,0.650270927235556,0.10219586317653
"1555938_x_at",7.33073588324662,1.99626413051347,0.192735373115241
"1555945_s_at",8.37368277398543,0.336620135164122,0.0692872844980344
"1555948_s_at",10.1071909898023,0.776079973070117,0.0871611127084501
"1555950_a_at",9.58163026576483,1.09228516730873,0.109075850931837
"1555960_at",6.83256912299688,0.400102160891988,0.0925766400262343
"1555961_a_at",12.5024580790843,0.218077559654074,0.0373516750163093
"1555967_at",6.6429907371488,1.15195502677613,0.161567541006746
"1555971_s_at",7.6428538074922,1.09488752650189,0.136908118339353
"1555982_at",6.65369089552549,2.29657664055168,0.2277602076999
"1555989_at",7.0777995730281,5.08450992590418,0.318585708273522
"1555996_s_at",6.81615489997919,2.88490552267755,0.249187553441192
"1556000_s_at",7.7374551735692,0.359479703499166,0.0774888189152213
"1556006_s_at",8.03535150072841,1.3859488214853,0.146510488818273
"1556007_s_at",9.90855902226847,1.28464903822315,0.114388337310521
"1556034_s_at",7.5420643069719,0.355425991397721,0.0790468122501362
"1556035_s_at",9.87272785473465,1.95369248824381,0.141576423712285
"1556042_s_at",6.92747997169615,0.171639528710991,0.0598044330829246
"1556049_at",7.76515659521332,0.781823854493061,0.11386866796242
"1556053_at",8.60722733215401,1.01530817327943,0.117067317652861
"1556059_s_at",6.63317978272633,0.563908443012622,0.113209410806598
"1556060_a_at",9.66432167783559,0.542311990953235,0.0761996938600288
"1556126_s_at",7.84920894630593,0.908642742380115,0.121442497732958
"1556151_at",9.45648216961498,0.24603604754733,0.0524529312182486
"1556180_at",7.05879118668054,0.398012999718513,0.0893754607586871
"1556277_a_at",7.9808500087409,1.67103778262309,0.161973507171195
"1556285_s_at",9.19942011841832,0.732411499648985,0.0930287369634176
"1556336_at",7.76780510801249,0.674796726897582,0.105751896121196
"1556339_a_at",7.90469579167534,0.414475906999784,0.0814450106288697
"1556352_at",7.63694759146722,0.413601529022577,0.0842114717545667
"1556373_a_at",8.38648338272633,1.02811536273095,0.120904101395091
"1556416_s_at",6.97267591383975,0.588333710653912,0.110004990246791
"1556442_x_at",9.32427972674298,0.25580010343091,0.0542419212775292
"1556493_a_at",6.82446227700312,0.589885815300519,0.112542235872564
"1556499_s_at",13.3753820707596,5.02699084762702,0.167628496861758
"1556543_at",7.97894338314256,0.839918044879829,0.114861126807002
"1556551_s_at",8.47123932903226,4.71216237373212,0.256249585751404
"1556568_a_at",7.86074644328824,1.03893629668315,0.129667360878886
"1556646_at",7.98280400478668,0.528281541362867,0.0910494342593878
"1556656_at",7.58260778876171,0.812617703234599,0.118884311522084
"1556657_at",8.8567615962539,1.22308841743852,0.124868809768449
"1556658_a_at",9.05332196233091,0.929677365607853,0.106502098065305
"1556820_a_at",9.18695965078044,0.834756064196389,0.0994507316209121
"1556821_x_at",9.28097972715921,1.09455493443302,0.112726223460429
"1556931_at",7.34015643496358,0.784432010060427,0.12066250520846
"1556988_s_at",8.3772338917794,0.738863217968766,0.10260803777508
"1557053_s_at",8.59973927825182,0.361744596996489,0.0699384079297618
"1557055_s_at",6.63537238022893,0.562237801878697,0.113004235167298
"1557067_s_at",7.26814450572321,0.532638337721604,0.100413627808477
"1557081_at",7.13975442039542,0.85639236510942,0.129614359892814
"1557100_s_at",7.09844050280957,1.18565593088548,0.153396832695385
"1557116_at",8.27960321540063,1.38005562679223,0.141885747176681
"1557172_x_at",6.71724379604579,0.683615858515697,0.123087784168244
"1557193_at",7.44513253215401,0.442137536858955,0.0893112690897299
"1557227_s_at",7.0840472376691,1.5908366561687,0.178045641297362
"1557238_s_at",7.69749239667014,0.59967598708663,0.100602566609395
"1557270_at",7.49512902601457,1.83200073585373,0.180585846139281
"1557293_at",7.60543883725286,1.00779582537821,0.131996373487168
"1557300_s_at",8.46493859916753,0.704774131728428,0.0991747616334485
"1557360_at",9.5376826,0.657981237637734,0.0850479577264167
"1557370_s_at",8.33592500894901,0.807069006984971,0.107770906513683
"1557384_at",8.43822909510926,0.501047693731139,0.0838857557520676
"1557411_s_at",8.26258893548387,1.27708819548997,0.136771086894991
"1557432_at",6.87112917315297,0.685871569346488,0.120529481241151
"1557455_s_at",7.16777418168574,1.48340606921136,0.169920474126547
"1557458_s_at",7.55155671758585,1.00115868422744,0.132499723144781
"1557505_a_at",7.17503508595213,0.488212953482731,0.0973824328215567
"1557527_at",7.60930999313215,2.22408956136182,0.195988621755923
"1557538_at",7.17886611675338,0.853019365736015,0.128654088278171
"1557543_at",7.69415781436004,0.940955201811371,0.126073376388795
"1557675_at",7.2087462578564,0.439748827657144,0.0919904209479256
"1557707_at",7.4332139169615,0.293283187014663,0.0728562732072201
"1557718_at",7.81485917502601,0.612534125915742,0.100148393789383
"1557803_at",6.66530950530697,3.41487302957057,0.277247066392446
"1557804_at",7.58505685057232,0.597202693939595,0.101883073743407
"1557813_at",6.72564711966701,2.43360974156811,0.231948405043823
"1557814_a_at",7.38328091300728,0.76940448696865,0.118803152473701
"1557820_at",11.5466414651405,0.379373677760173,0.0533430589522628
"1557828_a_at",7.12591230468262,0.608236002983345,0.109444915019444
"1557905_s_at",8.50971640915713,1.53150498097938,0.145426690051642
"1557910_at",11.3921838253902,3.20897655630674,0.157244798374147
"1557915_s_at",9.94607013402705,0.3832736428392,0.0622447833893266
"1557938_s_at",8.19315962226847,1.0905598448738,0.127459830112662
"1557944_s_at",8.13857313902185,0.550899124333994,0.0911985157582612
"1557950_at",7.15511091217482,0.917213425437383,0.133850140466314
"1557953_at",8.9266349157128,0.578252105846674,0.0851865124051365
"1557954_at",7.47997716670135,1.01974451979368,0.135003621249191
"1557965_at",8.10647683662851,0.315366763823298,0.0692748851892068
"1557966_x_at",8.02092486472425,0.310185199786682,0.0694362227750227
"1557984_s_at",6.46909124266389,0.914660883442104,0.147838237569869
"1557987_at",9.39384264328824,1.13333871020575,0.113327831922805
"1557996_at",8.04346567159209,0.72284126817387,0.105700795776092
"1558017_s_at",7.87145686097815,0.748118925005549,0.109882922320117
"1558028_x_at",7.90175615733611,0.668819517188631,0.103497734978238
"1558044_s_at",6.62611666368366,0.581631642465264,0.115097246656764
"1558048_x_at",9.9720168049948,3.0588189055549,0.175385579135631
"1558078_at",6.58845576378772,1.01332480832502,0.152788512677711
"1558080_s_at",9.95629635691988,1.34734106378408,0.116584538499032
"1558093_s_at",7.6232019157128,2.07485125429563,0.188953987274923
"1558097_at",9.61170166472425,0.370490717174753,0.0633269224993323
"1558111_at",8.61113607013528,1.88895685210189,0.159606497412957
"1558117_s_at",6.51155868262227,1.55064032998482,0.191236408462146
"1558136_s_at",8.21416050218522,0.516677698916097,0.0875077815098481
"1558139_at",7.52137364932362,1.37260562227534,0.155767095697039
"1558142_at",9.05250973319459,0.445673761576622,0.073746180620146
"1558143_a_at",6.67875395213319,1.02071726080087,0.151271559887232
"1558201_s_at",8.45194956129032,0.226498401324891,0.0563087224261339
"1558214_s_at",7.0237147132154,2.30765951495488,0.216281315401046
"1558220_at",7.84896591175858,0.964314292051237,0.125111392772007
"1558233_s_at",7.32434742726327,0.389555300962814,0.0852149164558175
"1558249_s_at",7.65269507055151,0.687423092924156,0.108342199961765
"1558254_s_at",7.24174388740895,1.09634320136486,0.144587284891564
"1558279_a_at",7.92547379063476,1.01713736717234,0.127251986480069
"1558290_a_at",7.44157610364204,1.8393791037992,0.18225132593547
"1558292_s_at",7.50564491550468,1.27812636052294,0.150625631761061
"1558304_s_at",6.57216185369407,0.561442747792961,0.114010404851456
"1558345_a_at",6.5318993396462,0.775360420899254,0.134806964837764
"1558409_at",6.91256958022893,1.55079072167619,0.180151167568365
"1558410_s_at",8.60448825556712,1.46744016407873,0.140784601105741
"1558426_x_at",7.17872332632674,0.400700809797896,0.0881785381035885
"1558486_at",9.37548048470343,1.69380261288794,0.138815469112331
"1558487_a_at",7.45988585078044,0.592478669390516,0.103182056062159
"1558511_s_at",9.31516660853278,0.840730895062504,0.0984323551871783
"1558515_at",6.96886647520916,1.97706622133386,0.201766223193907
"1558569_at",8.19098367637877,2.03941906092956,0.174348083001759
"1558620_at",7.21427766430801,0.490486288802829,0.0970779467600655
"1558675_s_at",8.38912830842872,0.368355309499867,0.0723463508648697
"1558678_s_at",13.1229342759625,0.615027491011138,0.0597607873367966
"1558685_a_at",7.77476881165453,0.897974714348542,0.12188340265289
"1558688_at",7.52022477523413,0.561723694846521,0.0996622184769051
"1558692_at",6.9245131433923,0.541400384533659,0.106260054913966
"1558693_s_at",7.21239713694069,0.705977204153292,0.116497258862671
"1558700_s_at",9.53893032029136,0.410760206419321,0.0671884319092609
"1558733_at",6.83312623475546,1.03716093028524,0.149040270588772
"1558740_s_at",6.74437405015609,0.828175193707261,0.134933398936387
